reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,312,317.0,324.0
0.24,large,312,317.0,323.0
0.24,large,312,317.0,322.0
0.24,large,312,317.0,321.0
0.24,large,226,322.0,325.0
0.24,large,226,322.0,324.0
0.24,large,226,322.0,323.0
0.24,large,226,321.0,326.0
0.24,large,226,321.0,325.0
0.24,large,226,321.0,324.0
0.24,large,226,321.0,323.0
0.24,large,226,321.0,322.0
0.24,large,312,313.0,318.0
0.24,large,312,313.0,317.0
0.24,large,226,325.0,326.0
0.24,large,226,324.0,326.0
0.24,large,226,324.0,325.0
0.24,large,226,323.0,326.0
0.24,large,226,323.0,324.0
0.24,large,226,322.0,326.0
0.24,large,312,313.0,326.0
0.24,large,312,313.0,325.0
0.24,large,312,313.0,324.0
0.24,large,312,313.0,323.0
0.24,large,312,313.0,322.0
0.24,large,312,313.0,321.0
0.24,large,312,313.0,320.0
0.24,large,312,313.0,319.0
0.24,large,312,314.0,324.0
0.24,large,312,314.0,323.0
0.24,large,312,314.0,322.0
0.24,large,312,314.0,321.0
0.24,large,312,314.0,320.0
0.24,large,312,314.0,319.0
0.24,large,312,314.0,318.0
0.24,large,312,314.0,317.0
0.24,large,226,317.0,323.0
0.24,large,226,317.0,322.0
0.24,large,226,317.0,321.0
0.24,large,226,317.0,320.0
0.24,large,226,317.0,319.0
0.24,large,226,317.0,318.0
0.24,large,226,316.0,326.0
0.24,large,226,316.0,325.0
0.24,large,226,318.0,323.0
0.24,large,226,318.0,322.0
0.24,large,226,318.0,321.0
0.24,large,226,318.0,320.0
0.24,large,226,318.0,319.0
0.24,large,226,317.0,326.0
0.24,large,226,317.0,325.0
0.24,large,226,317.0,324.0
0.24,large,226,319.0,324.0
0.24,large,226,319.0,323.0
0.24,large,226,319.0,322.0
0.24,large,226,319.0,321.0
0.24,large,226,319.0,320.0
0.24,large,226,318.0,326.0
0.24,large,226,318.0,325.0
0.24,large,226,318.0,324.0
